"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.6612743152044,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8257594495537,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1550216145572,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.1519989378827,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2814973081627,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.5231273959598,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.0229047371161,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6281734720143,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.3119823208894,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4394672222636,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.9120673219158,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.5410377627157,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.5947332240495,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5802179772647,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.2599876551093,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",15.0137418077684,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4943135477231,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.9841455057324,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.1458682452284,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1435630573311,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.05904390178,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6914039660164,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.5736634127858,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",18.0058916739311,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.9168848710084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.9391943502546,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1748110450196,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5955769201339,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3539555437955,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4434818925066,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.2351816063772,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.7831361256753,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",19.1030041417487,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.2197648262353,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.2853024685462,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.9081266903614,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",20.2305682650706,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",20.1886986630513,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",23.0385074489272,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.842519200141,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.4728411936199,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.5189738107964,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.9877174384992,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",21.0757650196519,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",20.0129640731119,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",19.2530266256288,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2016",21.2703536282629,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2017",21.7855353238146,"E"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1970",12.9366812227074,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1971",11.9735569896342,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1972",11.0204081632653,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1973",13.2167217086811,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1974",14.7355252245541,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1975",13.3837261004891,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1976",14.6538261322228,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1977",14.593919517985,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1978",15.3604143119823,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1979",15.9126423096957,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1980",16.7443542289866,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1981",16.8337415275958,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1982",15.6274126169954,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1983",15.0090237899918,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1984",17.3096651980504,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1985",18.086140954431,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1986",17.0940111103721,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1987",16.6447494335476,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1988",16.9791507976235,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1989",17.0703629800908,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1990",16.1917214061886,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1991",16.4189385923175,
