"Reporter","Partner","Trade","Product","Indicator","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"United-States","China","Export","AllProducts","Export","55224097.11","65237883.482","71456411.759","69575613.274","91910977.238","104121382.985","110516535.986","121721075.508","123675622.756","116071708.83","115602060.26"
"United-States","China","Export","Capitalgoods","Export","25802869.793999996","29094016.967","28996283.898999996","21700066.808999985","27863642.773000013","28434718.787000015","28147949.589999963","31529123.234000027","32577905.96100001","33143666.271999966","32715846.486000035"
"United-States","China","Export","Consumergoods","Export","4428828.933000002","5389785.926000001","6254981.281000009","5937946.554000004","9979802.879000006","13304087.402999995","14007238.973999998","17762883.585999995","21272359.606999997","20065941.704999976","19729507.806999974"
"United-States","China","Export","Intermediategoods","Export","10827792.055000015","13348548.893000003","14952452.434000017","14759590.408999998","18907709.90200002","21280204.96999998","20675800.400000054","21915778.41699999","21388453.13399999","18742218.32900002","19082804.648000028"
"United-States","China","Export","Rawmaterials","Export","13436260.343999993","16734877.41000001","20579468.510999992","21252963.630999997","28100915.22100001","33799935.912000015","38490699.154","36969517.07799998","33520671.776000027","27725107.206","28474255.609000027"
"United-States","China","Export","Animal","Export","974691.827","1468681.658","1823473.083","1572172.084","1409802.186","2432093.13","2615545.306","2944344.921","2613832.1950000003","1913593.371","2058097.5400000003"
"United-States","China","Export","Chemicals","Export","3818004.8619999997","5031795.766999999","5920074.232000001","6298634.238999999","8512124.243999999","10018201.219","9433259.455","9740887.943","9669860.493999999","9719090.022","9638305.360000001"
"United-States","China","Export","FoodProducts","Export","393976.86600000004","480552.941","545580.1410000001","738156.517","1441829.583","1344049.449","1849970.1940000001","2811692.098999999","2720820.57","3182351.3389999997","2158107.808"
"United-States","China","Export","Footwear","Export","66742.51000000001","46211.146","52336.363","53219.407","66514.579","71795.65","62794.831","68403.159","69159.09700000001","92565.74200000001","102282.65599999999"
"United-States","China","Export","Fuels","Export","205759.46","297857.02","446021.242","528743.742","1354454.993","2038333.881","2440877.013","2798559.458","1772230.868","2217885.279","2635071.287"
"United-States","China","Export","HidesandSkins","Export","935509.142","1039533.76","1057413.559","835458.721","1213535.408","1469655.516","1632960.129","1989306.953","1921053.9160000002","1631886.95","1303696.794"
"United-States","China","Export","MachandElec","Export","17882181.358","19520325.735","21128416.177","17873025.845","22738997.553000003","22404465.327","20717942.446","22711925.859","23307884.373","23529086.949","21920126.876000002"
"United-States","China","Export","Metals","Export","6771223.187000001","7525742.194","8369676.300999999","7484560.05","8617802.553","10882851.240999999","9789973.714000002","9073865.665","7858127.454000001","5961490.727","5239116.817"
"United-States","China","Export","Minerals","Export","579195.847","1071327.739","901719.669","841401.8520000001","1485585.206","1821226.966","1922281.1039999998","1663054.996","1729974.209","1202813.4470000002","1181705.723"
"United-States","China","Export","Miscellaneous","Export","3177541.16","4283819.549","4778854.976","10222443.654999996","12946135.824","13972271.868","17366982.387","22682362.56199999","24216278.873000003","26444788.439999998","26330742.962"
"United-States","China","Export","PlasticorRubber","Export","3160258.71","4175120.344","4510479.493","5049341.824999999","5744821.154","6104659.612","5735260.914","5718603.236","5978684.756","5613861.433","5598643.084"
"United-States","China","Export","StoneandGlass","Export","676507.3250000001","899461.159","849310.8359999999","743771.9929999999","1231426.787","1597895.442","1023707.3879999999","1759962.582","1770521.551","1288263.497","1288724.095"
"United-States","China","Export","TextilesandClothing","Export","2774327.733","2254251.949","2523893.3440000005","1632634.283","3076364.525","3739886.4959999993","4620780.261000001","3485545.8740000003","2280786.9030000004","1766525.442","1356145.948"
"United-States","China","Export","Transportation","Export","7589414.873","9267373.39","7224738.177","2144439.07","4787844.2930000005","6908776.999","7223230.323","10461084.262000002","13392396.186","10959808.365000002","11127532.737000002"
"United-States","China","Export","Vegetable","Export","2926563.973","4593801.83","7797081.750999999","9863436.806","12327092.07","12454078.526","17722624.789","16928689.215","17357424.901","14122180.421999998","16868940.757"
"United-States","China","Export","Wood","Export","2576747.9869999997","3282027.301","3527342.4150000005","3694173.185","4956646.28","6861141.663000001","6358345.732000001","6882786.724","7016586.41","6425517.404999999","6794819.816"
"Germany","China","Export","AllProducts","Export","34596026.0","41106431.0","48908819.0","51092285.0","71067793.77","90496735.985","86101711.432","89317190.643","99196126.266","79429908.59","85350435.973"
"Germany","China","Export","Capitalgoods","Export","21302397.0","24831260.0","29773012.0","29829344.0","40607898.29999996","51014656.045999974","48142493.16900005","51069600.45400003","56343188.89000005","45532799.103","47671049.97199997"
"Germany","China","Export","Consumergoods","Export","4775751.0","6838904.0","9419943.0","10152671.0","17682129.45699998","23988747.310000014","23229747.646999996","22780976.56299996","26741899.182000045","20863404.80599998","23353437.43800004"
"Germany","China","Export","Intermediategoods","Export","5702424.0","6039981.0","7060140.0","7570208.0","8860546.420000004","10976583.57100002","10075921.663999999","10959014.758999992","11273447.136999998","9257262.41900001","9761865.068000019"
"Germany","China","Export","Rawmaterials","Export","1068354.0","1314286.0","1380599.0","1207868.0","1471473.3519999993","2024530.8020000013","2040217.8480000002","1891338.2339999995","1781193.669999999","1731313.0490000008","2053129.8309999995"
"Germany","China","Export","Animal","Export","40805.0","44659.0","48876.0","53673.0","106478.336","258458.73700000002","500114.142","627976.999","665939.7459999998","924581.265","1312780.622"
"Germany","China","Export","Chemicals","Export","1706440.0","1975842.0","2616451.0","3356133.0","4018555.4560000002","5176805.887","5379039.505000001","5815192.925999999","6264976.444999999","6141572.227","6701611.843"
"Germany","China","Export","FoodProducts","Export","30942.0","47327.0","63478.0","74073.0","109303.27100000001","177624.674","256007.353","321402.206","447814.90400000004","490616.85400000005","538513.197"
"Germany","China","Export","Footwear","Export","10614.0","14125.0","18158.0","19168.0","22445.782","36758.783","34322.519","39522.664000000004","40539.193","43467.943999999996","43810.382999999994"
"Germany","China","Export","Fuels","Export","39938.0","49947.0","77943.0","93750.0","134779.366","140993.934","166452.119","187289.393","208909.681","148838.378","194371.971"
"Germany","China","Export","HidesandSkins","Export","43721.0","47959.0","74121.0","69822.0","86788.588","131989.617","114489.874","74767.914","84926.22399999999","92125.191","103024.713"
